title,number of ratings,price,url
"Nabisco Sweet Treats Cookie Variety Pack OREO, OREO Golden & CHIPS AHOY!, 30 Snack Packs",569,3.64,/ip/Nabisco-Sweet-Treats-Cookie-Variety-Pack-OREO-OREO-Golden-CHIPS-AHOY-30-Snack-Packs/50259424
"Doritos Nacho Cheese Flavored Tortilla Chips, Party Size, 15 oz",1001,19.87,/ip/Doritos-Nacho-Cheese-Flavored-Tortilla-Chips-Party-Size-15-oz/164047382
"CHIPS AHOY! Original Chocolate Chip Cookies, Family Size, 18.2 oz",522,3.64,/ip/CHIPS-AHOY-Original-Chocolate-Chip-Cookies-Family-Size-18-2-oz/23658443
"OREO Chocolate Sandwich Cookies, Family Size, 19.1 oz",760,6.98,/ip/OREO-Chocolate-Sandwich-Cookies-Family-Size-19-1-oz/23658442
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz. Can",146,3.48,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Can/10321674
"Frito Lay Family Fun Mix Snacks Variety Pack, 18 Count",300,3.98,/ip/Frito-Lay-Family-Fun-Mix-Snacks-Variety-Pack-18-Count/971503257
"SPAM Classic, 1.5 Lb (Pack of 2)",982,2.79,/ip/SPAM-Classic-1-5-Lb-Pack-of-2/159980722
(12 Cans) Armour Original Vienna Sausage 4.6 oz,559,3.56,/ip/12-Cans-Armour-Original-Vienna-Sausage-4-6-oz/44981956
"KRAFT EASY MAC Original Flavor Single Serve Pouches, 18 ct. Box",418,3.67,/ip/KRAFT-EASY-MAC-Original-Flavor-Single-Serve-Pouches-18-ct-Box/170152888
"Kedem Tea Biscuits, 4.2 OZ",8,19.87,/ip/Kedem-Tea-Biscuits-4-2-OZ/10421780
"Manischewitz Minestrone, 6 oz",1,3.64,/ip/Manischewitz-Minestrone-6-oz/30977302
"Kedem Tea Biscuits, 4.2 oz, (Pack of 24)",16,3.64,/ip/Kedem-Tea-Biscuits-4-2-oz-Pack-of-24/24182554
"Manischewitz Homestyle Potato Latke Mix, 6 oz, (Pack of 6)",6,5.99,/ip/Manischewitz-Homestyle-Potato-Latke-Mix-6-oz-Pack-of-6/23810080
"Kedem Tea Biscuits Chocolate Flavor, 4.2 OZ",6,8.02,/ip/Kedem-Tea-Biscuits-Chocolate-Flavor-4-2-OZ/10421819
"Kedem Tea Biscuits, Vanilla, 4.2 Oz",1,20.59,/ip/Kedem-Tea-Biscuits-Vanilla-4-2-Oz/33309604
"Manischewitz Potato Pancake Mix, 6 oz, (Pack of 6)",7,17.51,/ip/Manischewitz-Potato-Pancake-Mix-6-oz-Pack-of-6/23810089
"Manischewitz Mandlen for Soup, 1 oz, (Pack of 12)",7,14.99,/ip/Manischewitz-Mandlen-for-Soup-1-oz-Pack-of-12/23810079
Keebler Fudge Stripes Coconut Dreams Caramel & Coconut Cookies 8.5 oz.,533,69.00,/ip/Keebler-Fudge-Stripes-Coconut-Dreams-Caramel-Coconut-Cookies-8-5-oz/15055962
Keebler Fudge Shoppe Cookies E.L.Fudge Double Stuffed Original 12oz,265,was 99.00,/ip/Keebler-Fudge-Shoppe-Cookies-E-L-Fudge-Double-Stuffed-Original-12oz/10789398
"Pringles, Potato Crisps Chips, Original, 5.2 Oz",766,139.00,/ip/Pringles-Potato-Crisps-Chips-Original-5-2-Oz/47217461
"Pringles, Potato Crisps Chips, Sour Cream & Onion Flavored, 5.5 Oz",570,was 229.00,/ip/Pringles-Potato-Crisps-Chips-Sour-Cream-Onion-Flavored-5-5-Oz/108065286
"Pringles, Snack Stacks Potato Crisps Chips, Flavored Variety Pack, 19.5 Oz",593,169.00,/ip/Pringles-Snack-Stacks-Potato-Crisps-Chips-Flavored-Variety-Pack-19-5-Oz/453387822
FAMOUS AMOS Chocolate Chip Bite Size Cookies 12-1.2 oz. Pouches,279,was 199.00,/ip/FAMOUS-AMOS-Chocolate-Chip-Bite-Size-Cookies-12-1-2-oz-Pouches/37532095
Keebler Vienna Fingers Creme Filled Sandwich Cookies 14.2 oz,564,2.38,/ip/Keebler-Vienna-Fingers-Creme-Filled-Sandwich-Cookies-14-2-oz/16627414
"Keebler, Club Crackers, Original, Grab 'N' Go, Family Size, 18.8 Oz",469,2.70,/ip/Keebler-Club-Crackers-Original-Grab-N-Go-Family-Size-18-8-Oz/50733075
Keebler Fudge Stripes Minis Original Cookies 1 Oz Pouches (12 Count),104,1.48,/ip/Keebler-Fudge-Stripes-Minis-Original-Cookies-1-Oz-Pouches-12-Count/37481758
Keebler Fudge Stripes Original Cookies 17.3 Oz,140,1.48,/ip/Keebler-Fudge-Stripes-Original-Cookies-17-3-Oz/45207648
